Index,Study field,Institution,Continent,Country,City,N agreements,Agreement_ID
0,Actuarial Mathematics,Åbo Akademi University,Europe,Finland,Abo,1,0
1,Actuarial Mathematics,Arizona State University,North America,USA,Tempe,1,1
2,Actuarial Mathematics,Australian National University,Australia/Oceania,Australia,Canbarra,1,2
3,Actuarial Mathematics,Barnard College,North America,USA,New York City,1,3
4,Actuarial Mathematics,Boston College,North America,USA,Chestnut Hill,1,4
5,Actuarial Mathematics,Boston University,North America,USA,Boston,1,5
6,Actuarial Mathematics,California Institute of Technology,North America,USA,Pasadena,1,6
7,Actuarial Mathematics,Charles University (Prague),Europe,Czech Republic,Praha 1,1,7
8,Actuarial Mathematics,Chinese University of Hong Kong,Asia,China (Hong Kong),Hong Kong,1,8
9,Actuarial Mathematics,Chuo University,Asia,Japan,"Hachioji-shi, Tokyo",1,9
10,Actuarial Mathematics,City University of Hong Kong,Asia,China (Hong Kong),Hong Kong,1,10
11,Actuarial Mathematics,Concordia University,North America,Canada,Montréal,1,11
12,Actuarial Mathematics,Cornell University,North America,USA,Ithaca,1,12
13,Actuarial Mathematics,Deakin University,Australia/Oceania,Australia,Melbourne,1,13
14,Actuarial Mathematics,ETH Zurich,Europe,Switzerland,Zurich,1,14
15,Actuarial Mathematics,Ewha Womans University,Asia,South Korea,Seoul,1,15
16,Actuarial Mathematics,Fudan University,Asia,China (Mainland),Shanghai,1,16
17,Actuarial Mathematics,Goethe University Frankfurt,Europe,Germany,Frankfurt Am Main,1,17
18,Actuarial Mathematics,Griffith University,Australia/Oceania,Australia,Mount Gravatt,1,18
19,Actuarial Mathematics,Heidelberg University,Europe,Germany,HEIDELBERG,1,19
20,Actuarial Mathematics,Hong Kong University of Science and Technology,Asia,China (Hong Kong),Hong Kong,1,20
21,Actuarial Mathematics,Humboldt-Universität zu Berlin,Europe,Germany,Berlin,1,21
22,Actuarial Mathematics,Ilisimatusarfik - University of Greenland,Europe,Greenland,Nuuk,1,22
23,Actuarial Mathematics,Karlstad University,Europe,Sweden,Karlstad,1,23
24,Actuarial Mathematics,Korea University,Asia,South Korea,Soul,1,24
25,Actuarial Mathematics,Linköping University,Europe,Sweden,Linköping,1,25
26,Actuarial Mathematics,Linnæus University,Europe,Sweden,Väjxö,1,26
27,Actuarial Mathematics,Ludwig-Maximilians-Universität München (LMU),Europe,Germany,Muenchen,1,27
28,Actuarial Mathematics,Luleå University of Technology,Europe,Sweden,Luleå,1,28
29,Actuarial Mathematics,Lund University,Europe,Sweden,Lund,1,29
30,Actuarial Mathematics,Macquarie University,Australia/Oceania,Australia,North Ryde,1,30
31,Actuarial Mathematics,McGill University,North America,Canada,Montreal,1,31
32,Actuarial Mathematics,McMaster University,North America,Canada,Hamilton,1,32
33,Actuarial Mathematics,Mid Sweden University,Europe,Sweden,Sundsvall,1,33
34,Actuarial Mathematics,Monash University,Australia/Oceania,Australia,Clayton,1,34
35,Actuarial Mathematics,Nagoya University,Asia,Japan,"Chikusa Ward, Nagoya",1,35
36,Actuarial Mathematics,National Autonomous University of Mexico,South America,Mexico,Mexico City,1,36
37,Actuarial Mathematics,National Taiwan University,Asia,China (Taiwan),Taipei City,1,37
38,Actuarial Mathematics,National University of Colombia,South America,Colombia,Bogota,1,38
39,Actuarial Mathematics,National University of Singapore,Asia,Singapore,Singapore,1,39
40,Actuarial Mathematics,New York University,North America,USA,New York City,1,40
41,Actuarial Mathematics,North Carolina State University,North America,USA,Raleigh,1,41
42,Actuarial Mathematics,Norwegian University of Science and Technology (NTNU),Europe,Norway,Trondheim,1,42
43,Actuarial Mathematics,Osaka University,Asia,Japan,Suita,1,43
44,Actuarial Mathematics,Pontifical Catholic University of Rio de Janeiro,South America,Brazil,Rio de Janeiro,1,44
45,Actuarial Mathematics,Queensland University of Technology,Australia/Oceania,Australia,Brisbane,1,45
