Index,Study field,Institution,Continent,Country,City,N agreements,Agreement_ID,Latitude,Longitude
0,Actuarial Mathematics,Åbo Akademi University,Europe,Finland,Abo,1,0,60.4534537,22.2792379
1,Actuarial Mathematics,Arizona State University,North America,USA,Tempe,1,1,33.4213174,-111.9331631
2,Actuarial Mathematics,Australian National University,Australia/Oceania,Australia,Canbarra,1,2,,
3,Actuarial Mathematics,Barnard College,North America,USA,New York City,1,3,40.8094864,-73.9635510
4,Actuarial Mathematics,Boston College,North America,USA,Chestnut Hill,1,4,42.3354481,-71.1682665
5,Actuarial Mathematics,Boston University,North America,USA,Boston,1,5,42.3504215,-71.1032247
6,Actuarial Mathematics,California Institute of Technology,North America,USA,Pasadena,1,6,34.1370138,-118.1252883
7,Actuarial Mathematics,Charles University (Prague),Europe,Czech Republic,Praha 1,1,7,50.0888947,14.4162757
8,Actuarial Mathematics,Chinese University of Hong Kong,Asia,China (Hong Kong),Hong Kong,1,8,,
9,Actuarial Mathematics,Chuo University,Asia,Japan,"Hachioji-shi, Tokyo",1,9,35.6403751,139.4045306
10,Actuarial Mathematics,City University of Hong Kong,Asia,China (Hong Kong),Hong Kong,1,10,,
11,Actuarial Mathematics,Concordia University,North America,Canada,Montréal,1,11,45.4952440,-73.5785815
12,Actuarial Mathematics,Cornell University,North America,USA,Ithaca,1,12,42.4529076,-76.4800842
13,Actuarial Mathematics,Deakin University,Australia/Oceania,Australia,Melbourne,1,13,-37.8475136,145.1149474
14,Actuarial Mathematics,ETH Zurich,Europe,Switzerland,Zurich,1,14,47.4132180,8.5374914
15,Actuarial Mathematics,Ewha Womans University,Asia,South Korea,Seoul,1,15,37.5643371,126.9468925
16,Actuarial Mathematics,Fudan University,Asia,China (Mainland),Shanghai,1,16,,
17,Actuarial Mathematics,Goethe University Frankfurt,Europe,Germany,Frankfurt Am Main,1,17,50.1272185,8.6685531
18,Actuarial Mathematics,Griffith University,Australia/Oceania,Australia,Mount Gravatt,1,18,-27.5421950,153.0649526
19,Actuarial Mathematics,Heidelberg University,Europe,Germany,HEIDELBERG,1,19,49.4186003,8.6692402
20,Actuarial Mathematics,Hong Kong University of Science and Technology,Asia,China (Hong Kong),Hong Kong,1,20,,
